molID,identifier,"('THREEDMORSE', 'Mor04v')","('TOPOLOGICAL', 'MAXDN')","('THREEDMORSE', 'Mor32m')","('ATOMCENTRED_FRAGMENTS', 'O-057')","('GEOMETRICAL', 'AROM')","('THREEDMORSE', 'Mor25m')","('EIGENVALUE_INDICES', 'SEige')","('ATOMCENTRED_FRAGMENTS', 'C-027')","('GEOMETRICAL', 'DISPm')","('THREEDMORSE', 'Mor08v')","('GETAWAY', 'R1e+')","('THREEDMORSE', 'Mor25e')","('GETAWAY', 'HATS6m')","('EDGE_ADJACENCY_INDICES', 'EEig11r')","('BURDEN_EIGENVALUES_DESCRIPTORS', 'BELm8')","('GEOMETRICAL', 'DISPe')","('WHIM', 'P1s')","('ATOMCENTRED_FRAGMENTS', 'C-040')","('CONSTITUTIONAL', 'nBnz')","('TWOD_AUTOCORRELATIONS', 'GATS1m')","('TOPOLOGICAL_CHARGE_INDICES', 'JGT')","('FUNCTIONAL_GROUP_COUNTS', 'nArOH')","('EDGE_ADJACENCY_INDICES', 'EEig12x')","('ATOMCENTRED_FRAGMENTS', 'N-075')","('FUNCTIONAL_GROUP_COUNTS', 'nRCOOH')","('FUNCTIONAL_GROUP_COUNTS', 'nCp')","('GETAWAY', 'R2p')","('TOPOLOGICAL', 'Jhetm')","('WHIM', 'G1m')","('GEOMETRICAL', 'SPAM')","('CONSTITUTIONAL', 'nDB')","('GETAWAY', 'R2m+')"
643,none,-0.16600000000000001,1.258,-0.191,0.0,0.97899999999999998,0.39200000000000002,0.49299999999999999,0.0,5.9909999999999997,-0.26200000000000001,0.222,0.59299999999999997,0.10299999999999999,-0.88200000000000001,0.24099999999999999,0.26000000000000001,0.80100000000000005,0.0,1.0,0.82499999999999996,0.33500000000000002,0.0,-0.57699999999999996,0.0,0.0,0.0,0.47899999999999998,3.1099999999999999,0.21099999999999999,0.45700000000000002,2.0,0.060999999999999999
644,none,-0.29099999999999998,1.0720000000000001,-0.016,0.0,0.93500000000000005,0.16600000000000001,0.52200000000000002,2.0,3.5219999999999998,0.035999999999999997,0.20300000000000001,0.26500000000000001,0.021000000000000001,0.0,0.0,0.025999999999999999,0.63100000000000001,0.0,0.0,1.264,0.433,0.0,0.0,2.0,0.0,1.0,0.42899999999999999,3.4449999999999998,0.19700000000000001,0.46999999999999997,0.0,0.042999999999999997
645,none,-0.193,2.5419999999999998,0.0030000000000000001,1.0,0.0,-0.002,0.49299999999999999,0.0,11.65,-0.016,0.307,0.13200000000000001,0.0040000000000000001,0.0,0.0,0.48799999999999999,0.80900000000000005,1.0,0.0,0.69999999999999996,0.60499999999999998,0.0,0.0,0.0,1.0,2.0,0.39100000000000001,3.875,0.20399999999999999,0.47099999999999997,2.0,0.123
646,none,-0.96199999999999997,0.78900000000000003,-0.13800000000000001,0.0,0.93899999999999995,0.0040000000000000001,0.318,0.0,6.9379999999999997,0.115,0.315,0.33700000000000002,0.0,0.0,0.0,0.108,0.58299999999999996,0.0,0.0,0.55400000000000005,0.42699999999999999,0.0,0.0,0.0,0.0,1.0,0.51500000000000001,3.718,0.21299999999999999,0.496,0.0,0.156
647,none,-0.30599999999999999,0.34000000000000002,-0.25,0.0,0.95599999999999996,0.47699999999999998,0.0,0.0,2.8900000000000001,-0.52300000000000002,0.22600000000000001,0.98799999999999999,0.021000000000000001,-1.0,0.24099999999999999,0.024,0.63500000000000001,0.0,2.0,0.0,0.32300000000000001,0.0,-0.5,0.0,0.0,1.0,0.61599999999999999,2.9129999999999998,0.185,0.42399999999999999,0.0,0.029999999999999999
648,none,-0.36399999999999999,2.4940000000000002,0.029999999999999999,1.0,0.0,-0.001,0.49299999999999999,0.0,11.99,0.0,0.23999999999999999,0.13700000000000001,0.035999999999999997,0.0,0.0,0.45300000000000001,0.81799999999999995,1.0,0.0,0.66700000000000004,0.51800000000000002,0.0,0.0,0.0,1.0,2.0,0.503,3.9510000000000001,0.193,0.48399999999999999,2.0,0.14399999999999999
649,none,-0.69099999999999995,1.319,0.042999999999999997,0.0,0.0,-0.106,0.247,0.0,6.6040000000000001,-0.20100000000000001,0.14000000000000001,0.26600000000000001,0.073999999999999996,-0.93100000000000005,0.26400000000000001,0.16800000000000001,0.63100000000000001,0.0,0.0,0.5,0.46100000000000002,0.0,0.0,0.0,0.0,2.0,0.70599999999999996,2.6920000000000002,0.223,0.44400000000000001,3.0,0.068000000000000005
650,none,-0.182,1.0720000000000001,-0.14799999999999999,0.0,0.98899999999999999,0.17100000000000001,0.247,0.0,10.930999999999999,-0.44900000000000001,0.16500000000000001,0.89400000000000002,0.11,-0.20699999999999999,0.625,0.20399999999999999,0.65300000000000002,0.0,1.0,0.5,0.40000000000000002,0.0,-0.5,0.0,0.0,2.0,0.76800000000000002,2.835,0.16900000000000001,0.40400000000000003,2.0,0.044999999999999998
651,none,-0.48099999999999998,1.0880000000000001,-0.051999999999999998,0.0,0.98899999999999999,0.19400000000000001,0.247,0.0,7.9349999999999996,-0.247,0.185,0.81100000000000005,0.112,-0.70999999999999996,0.36599999999999999,0.191,0.54300000000000004,0.0,1.0,0.5,0.41699999999999998,0.0,-0.5,0.0,0.0,2.0,0.72699999999999998,2.9969999999999999,0.19500000000000001,0.39700000000000002,2.0,0.049000000000000002
652,none,-0.188,0.20699999999999999,0.037999999999999999,0.0,0.0,-0.14299999999999999,0.14199999999999999,0.0,12.805,0.38700000000000001,0.16400000000000001,0.311,0.014999999999999999,0.0,0.0,0.098000000000000004,0.80600000000000005,0.0,0.0,0.75,0.23699999999999999,0.0,0.0,0.0,0.0,1.0,0.88500000000000001,4.3949999999999996,0.20000000000000001,0.50600000000000001,0.0,0.156
