molid,identifiere,GGI1,GGI2,GGI3,GGI4,GGI5,GGI6,GGI7,GGI8,GGI9,GGI10,JGI1,JGI2,JGI3,JGI4,JGI5,JGI6,JGI7,JGI8,JGI9,JGI10,JGT
142,C12H22O2,1.5,0.66700000000000004,0.375,0.23999999999999999,0.111,0.082000000000000003,0.062,0.049000000000000002,0.02,0.017000000000000001,0.115,0.050999999999999997,0.031,0.021999999999999999,0.010999999999999999,0.01,0.0089999999999999993,0.0080000000000000002,0.0040000000000000001,0.0060000000000000001,0.26800000000000002
143,C16H16O2,2.5,0.88900000000000001,0.625,0.38200000000000001,0.26400000000000001,0.161,0.109,0.085999999999999993,0.0089999999999999993,0.016,0.13200000000000001,0.039,0.031,0.024,0.017999999999999999,0.010999999999999999,0.0089999999999999993,0.0080000000000000002,0.001,0.002,0.27400000000000002
144,C9H10O3,3.0,1.778,0.81299999999999994,0.69299999999999995,0.40999999999999998,0.0,0.0,0.0,0.0,0.0,0.25,0.111,0.050999999999999997,0.063,0.058999999999999997,0.0,0.0,0.0,0.0,0.0,0.53300000000000003
145,C6H12O3,2.5,0.66700000000000004,0.625,0.16,0.111,0.0,0.0,0.0,0.0,0.0,0.313,0.073999999999999996,0.088999999999999996,0.023,0.036999999999999998,0.0,0.0,0.0,0.0,0.0,0.53600000000000003
146,C6H12O3,2.5,0.66700000000000004,0.625,0.16,0.111,0.0,0.0,0.0,0.0,0.0,0.313,0.073999999999999996,0.088999999999999996,0.023,0.036999999999999998,0.0,0.0,0.0,0.0,0.0,0.53600000000000003
147,C8H14O5,3.0,1.556,0.875,0.47999999999999998,0.222,0.122,0.031,0.025000000000000001,0.0,0.0,0.25,0.111,0.063,0.036999999999999998,0.021999999999999999,0.017000000000000001,0.0060000000000000001,0.012,0.0,0.0,0.51900000000000002
148,C8H14O5,3.0,1.556,0.875,0.47999999999999998,0.222,0.122,0.031,0.025000000000000001,0.0,0.0,0.25,0.111,0.063,0.036999999999999998,0.021999999999999999,0.017000000000000001,0.0060000000000000001,0.012,0.0,0.0,0.51900000000000002
149,C8H14O3,2.5,0.88900000000000001,0.75,0.23999999999999999,0.16700000000000001,0.041000000000000002,0.031,0.0,0.0,0.0,0.25,0.081000000000000003,0.074999999999999997,0.024,0.028000000000000001,0.0080000000000000002,0.016,0.0,0.0,0.0,0.48099999999999998
150,C10H20O2,3.5,0.88900000000000001,0.75,0.23999999999999999,0.27800000000000002,0.082000000000000003,0.125,0.0,0.0,0.0,0.318,0.068000000000000005,0.074999999999999997,0.024,0.040000000000000001,0.012,0.031,0.0,0.0,0.0,0.56799999999999995
151,C13H18O2,3.0,0.88900000000000001,0.68799999999999994,0.23100000000000001,0.25700000000000001,0.14199999999999999,0.128,0.10299999999999999,0.043999999999999997,0.025000000000000001,0.20000000000000001,0.049000000000000002,0.045999999999999999,0.017999999999999999,0.025999999999999999,0.014,0.014,0.012999999999999999,0.0089999999999999993,0.012,0.40100000000000002
152,C13H16O2,1.5,1.111,0.56299999999999994,0.27100000000000002,0.20799999999999999,0.10100000000000001,0.074999999999999997,0.033000000000000002,0.025999999999999999,0.021000000000000001,0.10000000000000001,0.065000000000000002,0.035000000000000003,0.021000000000000001,0.019,0.010999999999999999,0.0089999999999999993,0.0050000000000000001,0.0050000000000000001,0.0070000000000000001,0.27800000000000002
153,C9H20O,1.5,0.44400000000000001,0.25,0.16,0.111,0.082000000000000003,0.062,0.0,0.0,0.0,0.16700000000000001,0.049000000000000002,0.035999999999999997,0.027,0.021999999999999999,0.02,0.021000000000000001,0.0,0.0,0.0,0.34200000000000003
154,C9H20O,1.5,0.44400000000000001,0.25,0.16,0.111,0.082000000000000003,0.062,0.0,0.0,0.0,0.16700000000000001,0.049000000000000002,0.035999999999999997,0.027,0.021999999999999999,0.02,0.021000000000000001,0.0,0.0,0.0,0.34200000000000003
155,C10H14,2.5,1.333,0.5,0.38200000000000001,0.23599999999999999,0.0,0.0,0.0,0.0,0.0,0.25,0.10299999999999999,0.044999999999999998,0.064000000000000001,0.079000000000000001,0.0,0.0,0.0,0.0,0.0,0.54000000000000004
