molID,identifier,"('TOPOLOGICAL', 'TI2')","('WALK_PATH_COUNTS', 'MPC04')","('CONNECTIVITY_INDICES', 'X2v')","('INFORMATION_INDICES', 'HVcpx')","('TWOD_AUTOCORRELATIONS', 'GATS1m')","('RDF', 'RDF110m')","('WHIM', 'G2v')","('GETAWAY', 'HATS2u')","('GETAWAY', 'HATS0p')","('GETAWAY', 'R4m+')","('GETAWAY', 'R2e')","('GETAWAY', 'R6p')","('GETAWAY', 'R6p')","('GETAWAY', 'RTp+')","('ATOMCENTRED_FRAGMENTS', 'H-049')","('ATOMCENTRED_FRAGMENTS', 'O-057')","('MOLECULAR_PROPERTIES', 'Hy')","('MOLECULAR_PROPERTIES', 'TPSA(NO)')","('MOLECULAR_PROPERTIES', 'TPSA(Tot)')"
31,none,1.887,18.0,3.7040000000000002,2.355,0.5,0.0,0.17100000000000001,0.41299999999999998,0.083000000000000004,0.049000000000000002,1.9690000000000001,0.249,0.249,0.044999999999999998,0.0,0.0,-0.877,17.07,17.07
32,none,1.661,19.0,4.6310000000000002,2.1499999999999999,0.5,0.0,0.20899999999999999,0.42099999999999999,0.087999999999999995,0.047,2.0049999999999999,0.248,0.248,0.047,0.0,0.0,-0.877,17.07,17.07
33,none,1.661,19.0,4.6310000000000002,2.1499999999999999,0.5,0.0,0.20899999999999999,0.42099999999999999,0.087999999999999995,0.047,2.0049999999999999,0.248,0.248,0.047,0.0,0.0,-0.877,17.07,17.07
34,none,1.268,21.0,3.1539999999999999,2.21,0.65700000000000003,0.0,1.0,0.69599999999999995,0.55100000000000005,0.505,1.879,0.108,0.108,0.111,0.0,0.0,-0.61399999999999999,9.2300000000000004,9.2300000000000004
35,none,1.5629999999999999,16.0,2.073,2.1680000000000001,0.56200000000000006,0.0,0.193,0.59899999999999998,0.161,0.111,1.4299999999999999,0.13100000000000001,0.13100000000000001,0.085000000000000006,0.0,1.0,-0.161,37.299999999999997,37.299999999999997
36,none,1.5629999999999999,16.0,2.371,2.1680000000000001,0.5,0.0,0.188,0.65200000000000002,0.14299999999999999,0.050999999999999997,1.613,0.17199999999999999,0.17199999999999999,0.070999999999999994,0.0,0.0,-0.86399999999999999,17.07,17.07
37,none,1.6020000000000001,19.0,2.875,2.2839999999999998,0.5,0.0,0.22,0.58499999999999996,0.122,0.048000000000000001,1.712,0.20499999999999999,0.20499999999999999,0.066000000000000003,0.0,0.0,-0.877,17.07,17.07
38,none,2.6819999999999999,4.0,2.2040000000000002,2.4140000000000001,0.57099999999999995,0.0,0.17899999999999999,0.436,0.087999999999999995,0.028000000000000001,1.8009999999999999,0.16200000000000001,0.16200000000000001,0.048000000000000001,0.0,0.0,-0.158,20.23,20.23
39,none,2.6819999999999999,4.0,2.2040000000000002,2.4140000000000001,0.57099999999999995,0.0,0.17899999999999999,0.436,0.087999999999999995,0.028000000000000001,1.8009999999999999,0.16200000000000001,0.16200000000000001,0.048000000000000001,0.0,0.0,-0.158,20.23,20.23
40,none,4.625,18.0,3.911,3.048,0.80800000000000005,0.41299999999999998,0.17399999999999999,0.35899999999999999,0.099000000000000005,0.014,1.798,0.19400000000000001,0.19400000000000001,0.065000000000000002,0.0,0.0,-0.84599999999999997,26.300000000000001,26.300000000000001
41,none,2.4809999999999999,18.0,2.7269999999999999,2.6680000000000001,0.82499999999999996,0.0,0.17899999999999999,0.44500000000000001,0.115,0.051999999999999998,1.825,0.17399999999999999,0.17399999999999999,0.062,0.0,0.0,-0.80700000000000005,26.300000000000001,26.300000000000001
42,none,1.409,12.0,2.3919999999999999,1.968,1.0289999999999999,0.0,0.20399999999999999,0.84599999999999997,0.26100000000000001,0.032000000000000001,1.452,0.065000000000000002,0.065000000000000002,0.13800000000000001,1.0,0.0,-0.70999999999999996,12.890000000000001,41.130000000000003
