molid,identifiere,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,MLOGP2,ALOGP,ALOGP2,LAI,GVWAI-80,GVWAI-50,Inflammat-80,Inflammat-50,Depressant-80,Depressant-50,Psychotic-80,Psychotic-50,Hypertens-80,Hypertens-50,Hypnotic-80,Hypnotic-50,Neoplastic-80,Neoplastic-50,Infective-80,Infective-50,BLTF96,BLTD48,BLTA96,ALOGPS_logP,ALOGPS_logS
319,C8H16O2,1.0,-0.76800000000000002,40.384999999999998,26.300000000000001,26.300000000000001,2.0600000000000001,4.2439999999999998,2.3359999999999999,5.4569999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1400000000000001,-3.2799999999999998,-3.29,2.6499999999999999,-1.9199999999999999
320,C8H16O2,1.0,-0.76800000000000002,40.487000000000002,26.300000000000001,26.300000000000001,2.0600000000000001,4.2439999999999998,2.4790000000000001,6.1459999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1400000000000001,-3.2799999999999998,-3.29,2.8199999999999998,-1.9299999999999999
321,C8H16O2,1.0,-0.76800000000000002,40.357999999999997,26.300000000000001,26.300000000000001,2.0600000000000001,4.2439999999999998,2.3420000000000001,5.4859999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1400000000000001,-3.2799999999999998,-3.29,2.5600000000000001,-1.8700000000000001
322,C11H20O4,1.585,-0.20000000000000001,56.460000000000001,63.600000000000001,63.600000000000001,1.2210000000000001,1.4910000000000001,1.903,3.6230000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-2.4300000000000002,-2.48,-2.4500000000000002,1.48,-2.0699999999999998
323,C13H16O2,3.1699999999999999,-0.84599999999999997,61.648000000000003,26.300000000000001,26.300000000000001,3.145,9.8879999999999999,3.3450000000000002,11.189,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-4.0599999999999996,-4.3099999999999996,-4.3700000000000001,3.7599999999999998,-3.9199999999999999
324,C5H10O2,1.0,-0.66800000000000004,26.693999999999999,26.300000000000001,26.300000000000001,0.996,0.99099999999999999,1.3029999999999999,1.6970000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2400000000000002,-2.27,-2.23,1.53,-0.69999999999999996
325,C5H10O2,1.0,-0.66800000000000004,26.564,26.300000000000001,26.300000000000001,0.996,0.99099999999999999,1.1659999999999999,1.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2400000000000002,-2.27,-2.23,1.46,-0.60999999999999999
326,C10H20O2,1.0,-0.80700000000000005,49.716000000000001,26.300000000000001,26.300000000000001,2.681,7.1859999999999999,3.3849999999999998,11.460000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.6699999999999999,-3.8700000000000001,-3.9100000000000001,3.75,-3.1499999999999999
327,C10H20O2,1.0,-0.80700000000000005,49.587000000000003,26.300000000000001,26.300000000000001,2.681,7.1859999999999999,3.2480000000000002,10.552,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.6699999999999999,-3.8700000000000001,-3.9100000000000001,3.6499999999999999,-3.0099999999999998
328,C7H14O3,1.0,-0.065000000000000002,37.557000000000002,46.530000000000001,46.530000000000001,0.89100000000000001,0.79300000000000004,1.2689999999999999,1.6100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1499999999999999,-2.1699999999999999,-2.1200000000000001,0.63,-0.47999999999999998
